gene_id,SAMN31934616,SAMN31934617,SAMN31934618,SAMN31934759,SAMN31934760,SAMN31934761
gene-EML5|EML5,3288,2637,4043,3606,3365,2731
gene-LOC106559189|LOC106559189,4,15,13,11,10,13
gene-TTC8|TTC8,354,323,380,327,396,340
gene-FOXN3|FOXN3,1488,1702,1450,1333,1480,1207
gene-LOC111097135|LOC111097135,23,28,14,8,16,8
gene-LOC102156073|LOC102156073,17,31,14,0,10,6
gene-LOC102156127|LOC102156127,23,21,23,15,23,13
gene-LOC119873049|LOC119873049,1,1,1,2,1,2
gene-LOC100685055|LOC100685055,4,3,5,3,3,5
gene-EFCAB11|EFCAB11,103,75,88,87,116,94
gene-LOC111097140|LOC111097140,30,16,40,29,27,20
gene-LOC111097141|LOC111097141,10,5,6,3,13,8
gene-TDP1|TDP1,180,166,174,133,185,188
gene-LOC119873142|LOC119873142,3,3,2,1,2,1
gene-LOC106559191|LOC106559191,56,42,43,41,58,44
gene-KCNK13|KCNK13,39,15,25,27,28,26
gene-NRDE2|NRDE2,658,734,709,680,834,779
gene-LOC119872918|LOC119872918,3,0,8,7,4,5
gene-PSMC1|PSMC1,1912,1387,2112,1338,1449,1648
gene-LOC111097241|LOC111097241,0,0,0,0,0,0
gene-LOC119873019|LOC119873019,2,0,0,0,0,0
gene-CALM1|CALM1,97492,73423,99925,75275,90534,84016
gene-LOC106559133|LOC106559133,5,7,0,0,0,0
gene-LOC102157222|LOC102157222,27,18,17,18,27,18
gene-TTC7B|TTC7B,3289,2326,3261,2857,3423,2834
gene-LOC106559192|LOC106559192,70,52,33,23,38,25
gene-LOC111097144|LOC111097144,25,16,17,6,0,5
gene-LOC119873139|LOC119873139,8,27,21,8,12,9
gene-LOC119872920|LOC119872920,50,38,31,15,27,15
gene-LOC111097188|LOC111097188,0,0,0,0,0,2
gene-RPS6KA5|RPS6KA5,1088,1341,869,918,1133,1029
gene-GPR68|GPR68,333,226,397,243,247,206
gene-CCDC88C|CCDC88C,417,362,435,201,252,198
gene-PPP4R3A|PPP4R3A,2017,1609,1952,1736,2083,1795
gene-LOC106559196|LOC106559196,7,6,9,15,7,18
gene-TMEM251|TMEM251,256,238,232,202,290,270
gene-GON7|GON7,894,769,1064,875,928,873
gene-UBR7|UBR7,622,646,689,573,734,582
gene-LOC102155272|LOC102155272,3,7,7,5,7,5
gene-BTBD7|BTBD7,959,905,949,901,1114,856
gene-LOC102151779|LOC102151779,0,0,0,0,1,2
gene-LOC102152027|LOC102152027,0,0,7,0,5,4
gene-LOC119873172|LOC119873172,2,3,1,1,2,4
gene-UNC79|UNC79,4083,3637,4318,3796,4155,3368
gene-LOC119873056|LOC119873056,7,4,3,7,2,4
gene-LOC119873020|LOC119873020,155,152,141,104,173,103
gene-PRIMA1|PRIMA1,25,36,18,5,13,11
gene-FAM181A|FAM181A,56,61,60,18,23,18
gene-ASB2|ASB2,21,11,17,8,19,10
gene-LOC111097146|LOC111097146,0,0,0,0,0,2
gene-LOC106559134|LOC106559134,0,0,0,0,3,0
gene-CCDC197|CCDC197,10,10,3,9,6,4
gene-OTUB2|OTUB2,62,54,71,65,63,51
gene-DDX24|DDX24,5543,4453,5968,4986,5594,5178
gene-LOC119872921|LOC119872921,0,0,0,4,0,0
gene-IFI27L2|IFI27L2,324,246,376,298,382,310
gene-PPP4R4|PPP4R4,1810,1375,2028,1745,1889,1652
gene-SERPINA1|SERPINA1,21,9,10,17,21,20
gene-SERPINA12|SERPINA12,0,0,0,0,0,0
gene-SERPINA3|SERPINA3,291,319,399,231,461,369
gene-LOC111097150|LOC111097150,38,34,32,14,27,28
gene-DICER1|DICER1,4730,4323,4677,3871,4389,3649
gene-CLMN|CLMN,118,145,108,137,94,97
gene-SYNE3|SYNE3,43,40,27,26,43,31
gene-LOC111097152|LOC111097152,76,40,57,66,91,65
gene-LOC119873129|LOC119873129,450,489,592,651,706,472
gene-GLRX5|GLRX5,557,499,517,513,555,572
gene-LOC111097153|LOC111097153,21,33,19,14,30,19
gene-C8H14orf132|C8H14orf132,15186,10702,16241,15139,17665,14338
gene-BDKRB2|BDKRB2,5,4,2,5,13,17
gene-AK7|AK7,16,23,21,10,11,15
gene-LOC119872922|LOC119872922,5,10,5,0,0,0
gene-GSKIP|GSKIP,2061,1569,2004,1865,2260,1802
gene-ATG2B|ATG2B,5822,5008,6154,5498,6171,5587
gene-LOC111097154|LOC111097154,43,39,46,35,64,35
gene-PAPOLA|PAPOLA,4053,3540,4086,2892,3535,3081
gene-LOC102155533|LOC102155533,33,99,94,44,89,79
gene-VRK1|VRK1,432,345,469,400,412,453
gene-LOC119873023|LOC119873023,6,0,4,0,0,3
gene-LOC119872923|LOC119872923,0,0,0,0,0,0
gene-LOC111097156|LOC111097156,7,0,5,4,0,4
gene-LOC111097248|LOC111097248,0,0,0,0,0,0
gene-BCL11B|BCL11B,142,134,114,105,80,95
gene-SETD3|SETD3,3257,2740,3332,2696,3207,2860
gene-CCNK|CCNK,208,189,272,187,236,203
gene-HHIPL1|HHIPL1,318,283,283,179,325,204
gene-CCDC85C|CCDC85C,298,256,380,286,385,266
gene-LOC119872924|LOC119872924,109,81,77,22,55,51
gene-LOC119872926|LOC119872926,11,14,5,5,8,12
gene-CYP46A1|CYP46A1,2741,1824,2796,1798,2535,2024
gene-LOC119872925|LOC119872925,25,20,24,15,28,9
gene-EML1|EML1,1936,1696,2030,1370,1568,1234
gene-LOC111097161|LOC111097161,5,0,0,2,5,0
gene-MIR342|MIR342,0,1,0,0,0,0
rna-NR_049354.1|MIR342,0,1,0,0,0,0
gene-LOC119873145|LOC119873145,4,6,5,5,4,3
gene-EVL|EVL,2014,1390,2126,1463,1713,1467
gene-DEGS2|DEGS2,111,137,81,46,101,47
gene-LOC111097162|LOC111097162,0,0,0,0,0,3
gene-LOC102156900|LOC102156900,290,340,280,158,246,220
gene-YY1|YY1,2701,2319,2434,2065,2734,2470
gene-SLC25A29|SLC25A29,849,662,925,578,768,645
gene-MIR345|MIR345,0,0,0,1,0,0
rna-NR_049355.1|MIR345,0,0,0,1,0,0
gene-LOC111097163|LOC111097163,6,6,12,0,9,0
gene-SLC25A47|SLC25A47,30,35,33,32,46,33
gene-WARS1|WARS1,4519,3637,4257,3506,4579,4237
gene-WDR25|WDR25,301,226,327,215,271,246
gene-LOC119872927|LOC119872927,0,7,0,0,0,0
gene-BEGAIN|BEGAIN,388,308,366,304,407,317
gene-LOC119872928|LOC119872928,41,24,37,7,15,11
gene-MIR493|MIR493,2,1,1,0,0,1
rna-NR_049356.1|MIR493,1,1,1,0,0,1
gene-LOC111097167|LOC111097167,8,5,6,0,0,3
gene-MIR665|MIR665,2,0,1,0,1,0
rna-NR_049522.1|MIR665,1,0,1,0,1,0
gene-MIR485|MIR485,0,1,0,0,1,1
rna-NR_049372.1|MIR485,0,1,0,0,0,0
gene-MIR496|MIR496,0,4,1,2,0,2
rna-NR_049495.1|MIR496,0,1,0,1,0,1
gene-MIR410|MIR410,0,0,0,0,0,0
rna-NR_049375.1|MIR410,0,0,0,0,0,0
gene-MIR3958|MIR3958,10,7,8,4,9,7
rna-NR_128845.1|MIR3958,1,1,1,1,1,1
gene-MIR376A-3|MIR376A-3,2,4,3,1,3,3
rna-NR_049367.1|MIR376A-3,1,1,1,1,1,1
gene-MIR376C|MIR376C,2,4,2,1,1,2
rna-NR_049477.1|MIR376C,1,1,1,0,1,1
gene-MIR376A-2|MIR376A-2,3,1,2,1,5,3
rna-NR_049368.1|MIR376A-2,1,1,1,1,1,1
gene-MIR376B|MIR376B,1,5,7,4,5,1
rna-NR_049476.1|MIR376B,1,1,1,1,1,1
gene-MIR376A-1|MIR376A-1,4,3,1,0,1,3
rna-NR_049369.1|MIR376A-1,1,1,1,0,1,1
gene-MIR300|MIR300,5,2,4,2,5,2
rna-NR_049517.1|MIR300,1,0,1,1,1,1
gene-MIR1185|MIR1185,3,4,5,3,4,4
rna-NR_128840.1|MIR1185,1,1,1,1,1,1
gene-MIR381|MIR381,3,5,3,3,4,2
rna-NR_049480.1|MIR381,1,1,1,1,1,1
gene-MIR487B|MIR487B,2,5,3,1,0,1
rna-NR_049370.1|MIR487B,1,1,1,1,0,1
gene-MIR539|MIR539,5,3,6,2,3,0
rna-NR_049498.1|MIR539,1,1,1,1,1,0
gene-MIR889|MIR889,3,8,6,4,11,5
rna-NR_128844.1|MIR889,1,1,1,1,1,1
gene-MIR544|MIR544,6,5,4,2,4,2
rna-NR_049499.1|MIR544,1,1,1,1,1,1
gene-MIR487A|MIR487A,2,4,1,2,2,1
rna-NR_049491.1|MIR487A,1,1,1,1,1,1
gene-MIR382|MIR382,2,5,5,3,6,2
rna-NR_049371.1|MIR382,1,1,1,1,1,1
gene-MIR134|MIR134,4,2,5,1,6,2
rna-NR_049472.1|MIR134,1,1,1,1,1,1
gene-MIR377|MIR377,1,1,2,2,2,2
rna-NR_049479.1|MIR377,1,0,1,1,1,1
gene-MIR409|MIR409,3,1,4,3,3,0
rna-NR_049373.1|MIR409,1,1,1,1,1,0
gene-MIR433|MIR433,0,0,0,0,0,0
rna-NR_049357.1|MIR433,0,0,0,0,0,0
gene-MIR127|MIR127,0,0,0,0,0,0
rna-NR_049358.1|MIR127,0,0,0,0,0,0
gene-MIR432|MIR432,0,0,0,0,0,0
rna-NR_049493.1|MIR432,0,0,0,0,0,0
gene-MIR136|MIR136,0,0,0,0,0,0
rna-NR_049359.1|MIR136,0,0,0,0,0,0
rna-NR_049360.1|MIR379,0,1,1,1,1,1
gene-MIR411|MIR411,0,2,0,1,1,0
rna-NR_049361.1|MIR411,0,1,0,0,1,0
rna-NR_049474.1|MIR299,0,1,0,1,0,0
gene-RTL1|RTL1,342,270,290,205,331,257
gene-LOC102152259|LOC102152259,3901,3377,4018,3124,4117,3076
gene-LOC119873140|LOC119873140,2,3,1,3,3,2
gene-MIR370|MIR370,10,6,10,6,7,5
rna-NR_049478.1|MIR370,1,1,1,1,1,1
gene-LOC119873112|LOC119873112,4,4,8,3,4,5
gene-LOC119873108|LOC119873108,11,9,11,11,10,8
gene-LOC119873122|LOC119873122,17,19,20,13,23,12
gene-LOC119873111|LOC119873111,23,22,20,15,26,16
gene-LOC119873106|LOC119873106,11,8,7,8,12,8
gene-LOC119873107|LOC119873107,18,16,17,16,29,17
gene-LOC119873118|LOC119873118,17,20,33,14,25,18
gene-LOC119873109|LOC119873109,17,13,16,23,20,15
gene-LOC119873100|LOC119873100,11,9,10,5,14,8
gene-LOC119873110|LOC119873110,18,17,30,16,34,11
gene-LOC119873070|LOC119873070,5,6,32,7,14,7
gene-LOC119873075|LOC119873075,9,7,8,6,9,10
gene-LOC119873081|LOC119873081,11,10,35,5,18,10
gene-LOC119873078|LOC119873078,6,8,9,2,13,6
gene-LOC119873101|LOC119873101,3,5,11,5,8,5
gene-LOC119873066|LOC119873066,11,14,21,10,14,12
gene-LOC119873080|LOC119873080,4,5,5,5,5,3
gene-LOC119873074|LOC119873074,1,3,6,6,6,3
gene-LOC119873113|LOC119873113,2,3,4,4,6,3
gene-LOC119873072|LOC119873072,11,9,8,9,15,8
gene-LOC119873067|LOC119873067,11,7,7,7,12,4
gene-LOC119873065|LOC119873065,27,14,16,7,14,15
gene-LOC119873086|LOC119873086,4,11,9,7,16,11
gene-LOC119879842|LOC119879842,7,5,7,5,7,5
gene-LOC119873099|LOC119873099,11,6,12,14,12,14
gene-LOC119873119|LOC119873119,20,18,21,15,26,18
gene-LOC119873120|LOC119873120,26,32,34,26,38,22
gene-LOC119873073|LOC119873073,25,20,25,22,24,13
gene-LOC119873098|LOC119873098,26,23,27,21,36,13
gene-LOC119873095|LOC119873095,20,15,15,25,38,24
gene-LOC119873092|LOC119873092,3,3,6,6,9,3
gene-LOC119873085|LOC119873085,5,4,4,7,7,5
gene-LOC119873127|LOC119873127,17,14,15,16,12,17
gene-LOC119873089|LOC119873089,4,4,5,7,3,3
gene-LOC119873087|LOC119873087,4,2,4,4,6,3
gene-LOC119873105|LOC119873105,16,18,20,19,27,26
gene-LOC119873079|LOC119873079,12,8,11,13,13,12
gene-LOC119873064|LOC119873064,4,4,4,4,6,7
gene-LOC119873088|LOC119873088,4,2,3,4,6,3
gene-LOC119873114|LOC119873114,5,3,4,3,4,3
gene-LOC119873125|LOC119873125,6,6,8,7,8,4
gene-LOC119873094|LOC119873094,3,4,7,9,15,10
gene-LOC119873084|LOC119873084,6,4,5,3,6,5
gene-LOC119873124|LOC119873124,9,6,18,14,14,12
gene-LOC119873116|LOC119873116,6,10,6,7,11,6
gene-LOC119873076|LOC119873076,3,4,5,1,8,3
gene-LOC119873103|LOC119873103,3,5,7,5,5,10
gene-LOC119873123|LOC119873123,3,2,9,8,12,4
gene-LOC119873102|LOC119873102,10,5,11,8,11,6
gene-LOC119873090|LOC119873090,4,5,6,6,9,7
gene-LOC119873077|LOC119873077,18,11,18,12,19,10
gene-LOC119873097|LOC119873097,17,23,30,17,22,9
gene-LOC119873121|LOC119873121,8,9,10,10,16,9
gene-LOC119873096|LOC119873096,13,7,18,16,25,13
gene-LOC119873117|LOC119873117,16,13,17,24,22,15
gene-LOC119873027|LOC119873027,433,388,492,434,543,359
gene-LOC119873091|LOC119873091,6,9,13,9,7,7
gene-LOC119873068|LOC119873068,6,4,5,10,11,4
gene-LOC119873069|LOC119873069,3,3,5,1,7,2
gene-LOC119873128|LOC119873128,6,8,6,4,9,4
gene-LOC111097168|LOC111097168,127,123,163,82,146,93
gene-LOC111097169|LOC111097169,71,70,64,42,48,38
gene-MIR379|MIR379,1,2,2,1,1,1
gene-MIR299|MIR299,1,1,1,2,1,0
gene-MIR380|MIR380,3,6,6,3,5,8
rna-NR_049362.1|MIR380,1,1,1,1,1,1
gene-MIR323|MIR323,1,3,1,1,4,1
rna-NR_049363.1|MIR323,1,1,1,1,1,1
gene-MIR758|MIR758,4,4,3,1,3,1
rna-NR_049513.1|MIR758,1,1,1,1,1,1
gene-MIR329B|MIR329B,2,1,2,4,2,3
rna-NR_049488.1|MIR329B,1,1,1,1,1,1
gene-MIR329A|MIR329A,2,1,4,3,9,4
rna-NR_049364.1|MIR329A,1,1,1,1,1,1
gene-MIR494|MIR494,4,4,6,4,9,6
rna-NR_049494.1|MIR494,1,1,1,1,1,1
gene-MIR543|MIR543,3,1,3,1,2,2
rna-NR_049365.1|MIR543,1,1,1,0,1,1
gene-LOC102152551|LOC102152551,9,19,12,15,31,36
gene-DIO3|DIO3,5,7,2,7,8,5
gene-LOC102152682|LOC102152682,91,69,68,49,61,47
gene-PPP2R5C|PPP2R5C,3031,2327,2874,2434,2657,2569
gene-LOC119873028|LOC119873028,135,98,133,123,144,148
gene-LOC119879672|LOC119879672,102,58,88,58,60,81
gene-LOC102153127|LOC102153127,6,3,9,0,0,0
gene-DYNC1H1|DYNC1H1,73069,61374,66656,56560,62381,51709
gene-WDR20|WDR20,482,415,484,293,409,342
gene-MOK|MOK,916,594,1406,352,566,696
gene-LOC119873029|LOC119873029,13,8,13,6,11,7
gene-HSP90AA1|HSP90AA1,43052,30202,42472,31021,32999,31564
gene-LOC106559137|LOC106559137,3,0,5,0,3,2
gene-ZNF839|ZNF839,104,107,104,125,123,126
gene-ANKRD9|ANKRD9,312,365,291,242,362,238
gene-LOC106559203|LOC106559203,0,0,0,0,0,0
gene-CINP|CINP,421,321,472,381,450,414
gene-TECPR2|TECPR2,2071,2073,2089,2272,2684,2102
gene-LOC100856752|LOC100856752,0,0,0,0,0,0
gene-RCOR1|RCOR1,776,926,754,787,964,932
gene-LOC119872956|LOC119872956,2,0,0,0,8,0
gene-TRAF3|TRAF3,1409,1212,1269,1149,1383,1072
gene-CDC42BPB|CDC42BPB,4514,3368,4466,3611,4481,3534
gene-LBHD2|LBHD2,0,0,0,0,0,0
gene-LOC100686502|LOC100686502,1262,1346,1284,1229,1602,1293
gene-EXOC3L4|EXOC3L4,53,34,42,36,50,43
gene-LOC102154321|LOC102154321,0,0,0,0,0,0
gene-TNFAIP2|TNFAIP2,122,102,166,149,184,190
gene-LOC480441|LOC480441,26,31,42,15,44,38
gene-LOC102154610|LOC102154610,57,71,35,32,98,54
gene-EIF5|EIF5,14720,12820,15316,15745,18176,15824
gene-LOC119873132|LOC119873132,4,9,5,6,8,5
gene-LOC111097173|LOC111097173,5,0,5,0,0,0
gene-MARK3|MARK3,2554,2583,2516,2351,2892,2459
gene-LOC119873126|LOC119873126,1,2,1,1,0,2
gene-LOC119873148|LOC119873148,5,5,7,2,4,5
gene-TRMT61A|TRMT61A,167,144,160,155,242,191
gene-LOC100855552|LOC100855552,7127,7102,6824,4700,6406,5235
gene-LOC111097174|LOC111097174,21,24,18,19,16,9
gene-BAG5|BAG5,2683,2054,2896,2235,2580,2455
gene-KLC1|KLC1,15532,11249,15194,13381,15299,13085
gene-XRCC3|XRCC3,55,40,65,43,62,39
gene-PPP1R13B|PPP1R13B,1457,1141,1436,1104,1510,1296
gene-COA8|COA8,382,346,425,384,438,377
gene-LOC102155783|LOC102155783,6,10,12,3,10,10
gene-LOC119873032|LOC119873032,3,1,2,1,4,2
gene-LOC119872934|LOC119872934,86,104,108,50,91,54
gene-LOC119872933|LOC119872933,111,114,91,65,110,64
gene-ZFYVE21|ZFYVE21,333,326,324,303,351,269
gene-LOC119873042|LOC119873042,4,2,2,2,2,3
gene-ATP5MJ|ATP5MJ,1579,1281,1446,1153,1424,1252
gene-TDRD9|TDRD9,74,58,65,56,82,69
gene-RD3L|RD3L,3,5,7,6,10,5
gene-ASPG|ASPG,24,39,29,11,27,21
gene-KIF26A|KIF26A,204,254,215,141,275,182
gene-LOC102157361|LOC102157361,37,16,37,22,36,32
gene-LOC119872935|LOC119872935,3,0,0,0,2,0
gene-LOC119873115|LOC119873115,2,2,3,2,5,8
gene-LOC106559204|LOC106559204,13,6,9,0,9,5
gene-LOC119876512|LOC119876512,5,8,0,12,12,6
gene-C8H14orf180|C8H14orf180,45,67,49,22,52,50
gene-TMEM179|TMEM179,1802,1522,1667,1123,1386,1144
gene-INF2|INF2,938,1056,936,500,736,724
gene-ADSS1|ADSS1,68,75,77,52,70,93
gene-SIVA1|SIVA1,94,94,103,109,100,106
gene-AKT1|AKT1,926,733,849,721,1033,815
gene-ZBTB42|ZBTB42,3,4,3,0,4,15
gene-CEP170B|CEP170B,2757,1724,2509,1508,2394,1882
gene-PLD4|PLD4,30,36,38,28,35,18
gene-AHNAK2|AHNAK2,505,299,242,91,190,216
gene-CLBA1|CLBA1,216,207,244,244,310,228
gene-CDCA4|CDCA4,81,85,61,57,83,53
gene-JAG2|JAG2,645,425,605,282,407,315
gene-NUDT14|NUDT14,145,110,158,129,185,124
gene-LOC111097176|LOC111097176,22,41,23,19,29,17
gene-BRF1|BRF1,701,617,805,543,752,526
gene-BTBD6|BTBD6,696,494,626,506,766,425
gene-LOC119872936|LOC119872936,4,7,6,4,5,6
gene-PACS2|PACS2,1984,1702,1778,1453,1877,1489
gene-MTA1|MTA1,440,324,416,252,298,246
gene-CRIP2|CRIP2,535,373,506,435,741,625
gene-LOC111097177|LOC111097177,2,4,8,0,0,5
gene-CRIP1|CRIP1,72,42,51,13,33,81
gene-TEDC1|TEDC1,192,161,206,173,225,165
gene-LOC119879781|LOC119879781,0,0,3,0,0,0
gene-TMEM121|TMEM121,40,60,37,31,76,38
gene-LOC119879782|LOC119879782,0,4,8,5,10,0
gene-LOC102154760|LOC102154760,9,0,10,7,0,6
gene-LOC111097184|LOC111097184,0,0,0,0,0,0
gene-LOC111097179|LOC111097179,0,0,3,0,0,0
gene-LOC119869018|LOC119869018,0,0,0,0,0,0
gene-LOC102153980|LOC102153980,1,0,0,3,0,18
gene-LOC100855538|LOC100855538,218,175,223,182,233,203
gene-LOC100855826|LOC100855826,3,8,9,7,10,12
gene-LOC100685971|LOC100685971,9,6,14,6,4,5
gene-LOC106557516|LOC106557516,185,142,197,95,60,69
gene-LOC111097183|LOC111097183,0,0,0,0,0,0
gene-LOC106559121|LOC106559121,0,2,0,0,0,2
gene-LOC106559118|LOC106559118,1,0,0,0,0,0
gene-METRNL|METRNL,98,83,64,55,90,65
gene-LOC119873200|LOC119873200,6,5,3,0,0,0
gene-LOC119873201|LOC119873201,0,0,0,0,0,0
gene-LOC119873399|LOC119873399,0,2,0,0,0,0
gene-FN3K|FN3K,545,413,487,419,517,435
gene-B3GNTL1|B3GNTL1,308,331,344,235,339,256
gene-ZNF750|ZNF750,48,63,22,16,22,13
gene-TBCD|TBCD,1879,1481,1898,1755,2207,1740
gene-LOC102154805|LOC102154805,7,10,6,0,8,2
gene-FN3KRP|FN3KRP,485,381,488,328,421,315
gene-LOC102154540|LOC102154540,25,19,10,9,15,7
gene-WDR45B|WDR45B,735,740,712,539,666,617
gene-FOXK2|FOXK2,1380,1086,1324,974,1340,991
gene-RAB40B|RAB40B,174,199,170,113,193,130
gene-TRNAQ-CUG-3|TRNAQ-CUG,2,0,0,0,0,0
gene-HEXD|HEXD,164,139,168,134,152,149
gene-NARF|NARF,890,734,1018,782,943,629
gene-LOC119873202|LOC119873202,47,38,45,25,63,33
gene-CYBC1|CYBC1,318,345,342,283,427,348
gene-LOC111094981|LOC111094981,0,0,0,0,0,2
gene-OGFOD3|OGFOD3,120,108,129,87,129,122
gene-UTS2R|UTS2R,3,0,0,1,2,0
gene-CD7|CD7,12,0,16,7,20,9
gene-CSNK1D|CSNK1D,2052,1597,1914,1466,2059,1689
gene-SLC16A3|SLC16A3,125,83,141,132,132,100
gene-CCDC57|CCDC57,151,161,170,136,165,138
gene-LOC119873203|LOC119873203,77,88,89,28,44,37
gene-FASN|FASN,8162,6454,8036,5897,7734,5921
gene-DUS1L|DUS1L,586,534,628,488,615,487
gene-GPS1|GPS1,1635,1268,1638,1291,1776,1449
gene-RFNG|RFNG,292,273,339,217,289,248
gene-LOC102154270|LOC102154270,91,106,121,44,108,71
gene-LOC607806|LOC607806,6,0,10,3,5,0
gene-DCXR|DCXR,297,227,240,369,397,270
gene-RAC3|RAC3,1115,819,1233,997,1164,1044
gene-LRRC45|LRRC45,284,243,320,204,228,182
gene-CENPX|CENPX,184,197,184,116,163,166
gene-ASPSCR1|ASPSCR1,2046,1729,2028,1587,2093,1800
gene-NOTUM|NOTUM,30,10,8,15,15,12
gene-MYADML2|MYADML2,12,12,7,12,17,15
gene-PYCR1|PYCR1,675,498,609,504,744,640
gene-MAFG|MAFG,444,273,401,264,295,260
gene-SIRT7|SIRT7,424,328,424,293,417,330
gene-LOC119873206|LOC119873206,6,2,3,0,3,0
gene-LOC119873205|LOC119873205,53,74,52,56,62,46
gene-PCYT2|PCYT2,382,324,409,312,444,421
gene-ANAPC11|ANAPC11,253,229,286,240,318,297
gene-ALYREF|ALYREF,515,411,561,414,521,405
gene-ARHGDIA|ARHGDIA,1563,1064,1641,1041,1403,1274
gene-LOC119873207|LOC119873207,15,21,26,22,23,19
gene-P4HB|P4HB,2322,1858,2186,1820,2040,1852
gene-PPP1R27|PPP1R27,4,5,9,0,0,5
gene-MCRIP1|MCRIP1,355,306,377,273,398,338
gene-SLC25A10|SLC25A10,173,151,130,133,375,132
gene-MRPL12|MRPL12,615,451,503,307,399,384
gene-HGS|HGS,865,682,942,605,809,617
gene-ARL16|ARL16,270,171,301,235,328,291
gene-CCDC137|CCDC137,710,627,859,591,804,653
gene-OXLD1|OXLD1,204,203,244,158,191,159
gene-PDE6G|PDE6G,0,0,5,5,21,6
gene-NPW|NPW,0,0,0,2,0,0
gene-NPLOC4|NPLOC4,1384,1074,1314,1379,1724,1500
gene-FAAP100|FAAP100,307,263,282,254,334,256
gene-FSCN2|FSCN2,9,6,7,0,0,4
gene-LOC111097269|LOC111097269,5,0,8,0,0,0
gene-LOC102157223|LOC102157223,8,6,3,0,8,0
gene-ACTG1|ACTG1,22615,13988,22492,17523,21878,18672
gene-BAHCC1|BAHCC1,397,291,322,197,254,203
gene-LOC102151164|LOC102151164,3,0,0,4,0,0
gene-SLC38A10|SLC38A10,991,737,922,789,1050,807
gene-NDUFAF8|NDUFAF8,100,108,117,113,128,110
gene-TEPSIN|TEPSIN,306,233,268,158,252,200
gene-CEP131|CEP131,769,654,721,557,714,595
gene-PVALEF|PVALEF,25,22,14,7,16,10
gene-AATK|AATK,2306,2139,2303,2014,2764,2249
gene-MIR338|MIR338,1,2,1,0,0,1
rna-NR_049389.1|MIR338,1,1,0,0,0,1
gene-LOC119873208|LOC119873208,83,51,87,46,52,64
gene-BAIAP2|BAIAP2,1850,1456,1831,1541,2145,1827
gene-CHMP6|CHMP6,632,490,579,453,591,529
gene-LOC119873390|LOC119873390,0,10,0,7,3,0
gene-LOC119873209|LOC119873209,0,5,7,0,0,0
gene-RPTOR|RPTOR,741,600,750,525,640,530
gene-LOC111097270|LOC111097270,14,9,11,0,5,3
gene-LOC106559229|LOC106559229,17,11,11,8,9,7
gene-LOC119873528|LOC119873528,2,3,4,4,4,2
gene-LOC119863936|LOC119863936,8,10,0,0,5,0
gene-LOC119873391|LOC119873391,3,4,0,0,3,0
gene-LOC102152004|LOC102152004,21,17,6,5,13,9
gene-LOC119873210|LOC119873210,3,3,0,0,2,6
gene-NPTX1|NPTX1,3672,2407,3578,4148,4340,3583
gene-ENDOV|ENDOV,135,86,121,108,107,100
gene-RNF213|RNF213,1398,1494,979,735,1206,1173
gene-LOC111097271|LOC111097271,166,107,176,155,146,160
gene-SLC26A11|SLC26A11,609,427,576,583,719,586
gene-SGSH|SGSH,289,230,309,185,214,252
gene-CARD14|CARD14,0,0,0,0,0,0
gene-EIF4A3|EIF4A3,873,749,911,581,752,726
gene-LOC100683147|LOC100683147,3,1,0,0,0,2
gene-GAA|GAA,796,658,765,409,647,501
gene-LOC119873401|LOC119873401,0,0,0,0,0,0
gene-TBC1D16|TBC1D16,1028,818,909,541,821,675
gene-CCDC40|CCDC40,21,17,19,18,9,21
gene-CBX4|CBX4,433,416,503,372,601,471
gene-CBX8|CBX8,93,82,83,71,104,123
gene-CBX2|CBX2,29,20,12,14,22,21
gene-ENPP7|ENPP7,4,0,0,4,9,0
gene-LOC111097273|LOC111097273,20,16,23,10,14,17
gene-LOC111097274|LOC111097274,76,69,87,46,76,48
gene-ENGASE|ENGASE,73,72,61,58,96,92
gene-LOC111097277|LOC111097277,0,0,0,0,0,0
gene-RBFOX3|RBFOX3,1091,1000,962,620,948,784
gene-LOC111097275|LOC111097275,23,44,37,19,20,19
gene-LOC119873211|LOC119873211,12,16,8,8,0,3
gene-C1QTNF1|C1QTNF1,73,63,68,41,72,73
gene-CANT1|CANT1,1153,923,939,874,1141,986
gene-LOC102153844|LOC102153844,0,0,0,0,0,0
gene-LOC111097510|LOC111097510,0,0,5,0,0,0
gene-TIMP2-2|TIMP2,18,12,15,12,6,8
gene-TIMP2|TIMP2,922,628,1041,710,747,798
gene-USP36|USP36,503,368,440,315,361,393
gene-CYTH1|CYTH1,1384,1137,1371,986,1260,1044
gene-DNAH17|DNAH17,56,32,42,21,31,24
gene-PGS1|PGS1,428,305,402,350,449,402
gene-LOC119880449|LOC119880449,11,0,9,6,5,7
gene-SOCS3|SOCS3,7,8,5,10,26,22
gene-LOC119873213|LOC119873213,0,0,0,0,3,4
gene-LOC111097281|LOC111097281,0,0,0,0,0,3
gene-LOC491550|LOC491550,81,84,80,71,106,86
gene-TMEM235|TMEM235,16,8,19,18,8,6
gene-BIRC5|BIRC5,15,36,32,23,25,14
gene-AFMID|AFMID,6,0,0,6,0,0
gene-TK1|TK1,43,31,36,27,7,25
gene-SYNGR2|SYNGR2,227,237,233,133,196,144
gene-LOC119873214|LOC119873214,0,0,0,0,0,0
gene-C9H17orf99|C9H17orf99,0,0,0,0,0,0
gene-LOC100688028|LOC100688028,30,36,21,17,18,32
